loan_id,customer_id,loan_status,application_time,current_loan_amount,term,tax_liens,purpose,no_of_properties,home_ownership,annual_income,years_in_current_job,months_since_last_delinquent,no_of_cars,no_of_children,credit_score,monthly_debt,years_of_credit_history,no_of_open_accounts,no_of_credit_problems,current_credit_balance,max_open_credit,bankruptcies,application_date,application_year,application_month,application_week,application_day,application_season,current_credit_balance_ratio
abf3db48-e6fb-4ac5-884a-598f1a2979fc,00024ad3-b367-44e3-81ff-4bee18ed00b4,1,2015-07-19 10:17:00,99999999.0,0,0.0,0.7893374741200828,4.0,1.0,161684.0,11,35.03436225975539,0.0,1.0,747.0,1414.73,26.0,9.0,0.0,33575.0,0.0,0.0,2015-07-19,2015,7,29,19,3,0.00033575000335750004
7661d390-2394-4ee1-b2e7-8440f8c5f978,000685bc-92e8-44ca-9943-7668d3efc988,1,2015-07-06 13:54:00,9843.0,0,0.0,0.7893374741200828,2.0,0.0,98399.0,11,16.0,0.0,2.0,735.0,1361.18,33.2,18.0,0.0,4554.0,24752.0,0.0,2015-07-06,2015,7,28,6,3,0.4626638220054861
cd6cb65b-10a1-43b8-a83d-569184b35ae7,0007b08c-a4ba-436d-af3e-d91745216fd8,1,2015-08-22 11:01:00,16400.0,0,0.0,0.05897745571658615,4.0,2.0,97375.0,11,35.03436225975539,3.0,3.0,749.0,177.71,20.9,14.0,0.0,2806.0,93549.0,0.0,2015-08-22,2015,8,34,22,3,0.17109756097560977
f122c3f1-08ef-439e-912a-449802deb2a1,000877d4-55ed-4126-abda-968f61da7b7f,1,2015-04-25 12:50:00,5072.0,0,0.0,0.7893374741200828,0.0,1.0,72493.00155038759,-1,35.03436225975539,2.4950845955866843,1.5007383654698114,1348.529431308489,949.5996962025317,18.524308016877637,11.087130801687763,0.1461181434599156,15390.533164556962,39822.366513354995,0.1041278971409237,2015-04-25,2015,4,17,25,2,0.0
e4deec6d-406f-4873-bbdf-46f252c0b92c,0008bc47-41f5-4e2b-b656-db39bc194a01,1,2015-04-25 11:34:00,12317.0,1,0.0,0.7893374741200828,0.0,1.0,72493.00155038759,-1,35.03436225975539,2.4950845955866843,1.5007383654698114,1348.529431308489,949.5996962025317,18.524308016877637,11.087130801687763,0.1461181434599156,15390.533164556962,39822.366513354995,0.1041278971409237,2015-04-25,2015,4,17,25,2,0.0
87b6a064-b524-4cff-a968-b176bdc70075,000bbb5d-3a62-4712-908e-caacd7a815d5,1,2015-01-06 14:43:00,33231.0,0,0.0,0.7893374741200828,1.0,1.0,72493.00155038759,-1,35.03436225975539,2.4950845955866843,1.5007383654698114,1348.529431308489,949.5996962025317,18.524308016877637,11.087130801687763,0.1461181434599156,15390.533164556962,39822.366513354995,0.1041278971409237,2015-01-06,2015,1,2,6,1,0.0
ef7904b9-94ec-4e54-b43b-d0c8ea0f5f74,000db80b-d11b-4f8f-aaa8-597ff693131b,1,2015-06-07 10:38:00,27829.0,0,0.0,0.7893374741200828,0.0,1.0,99390.0,11,35.03436225975539,5.0,2.0,749.0,2103.76,29.0,23.0,0.0,164392.0,395174.0,0.0,2015-06-07,2015,6,23,7,2,5.907219088001725
cdc43992-adf1-4dfb-b140-ea82c6632f94,000e5096-7c7a-4c8c-9a74-434cea94e4bf,0,2015-06-04 11:39:00,15047.0,0,0.0,0.7893374741200828,2.0,1.0,42788.0,-1,35.03436225975539,4.0,0.0,7360.0,211.8,32.0,5.0,0.0,7498.0,10532.0,0.0,2015-06-04,2015,6,23,4,2,0.49830531002857714
4d16debf-6104-4652-a9a2-20f15b3e986e,000ed381-6725-43b5-bc13-4b742bd9b212,0,2015-07-10 14:02:00,3007.0,0,0.0,0.7893374741200828,4.0,2.0,33794.0,-1,35.03436225975539,3.0,0.0,740.0,402.71,23.7,6.0,0.0,16148.0,18434.0,0.0,2015-07-10,2015,7,28,10,3,5.37013634852012
54bd20d4-3baf-4143-afc5-b6db9300a14d,00127cca-7050-4867-9410-8249ef8ad4d2,1,2015-04-08 12:23:00,15612.0,1,0.0,0.05897745571658615,2.0,1.0,72493.00155038759,-1,35.03436225975539,2.4950845955866843,1.5007383654698114,1348.529431308489,949.5996962025317,18.524308016877637,11.087130801687763,0.1461181434599156,15390.533164556962,39822.366513354995,0.1041278971409237,2015-04-08,2015,4,15,8,2,0.0
